,PUBID8   ,REGION8  ,CENDIV8  ,SQFT8    ,SQFTC8   ,YRCONC8  ,PBA8     ,ELUSED8  ,NGUSED8  ,FKUSED8  ,PRUSED8  ,STUSED8  ,HWUSED8  ,ADJWT8   ,STRATUM8 ,PAIR8    ,ELHTBTU8 ,ELCLBTU8 ,ELVNBTU8 ,ELWTBTU8 ,ELLTBTU8 ,ELCKBTU8 ,ELRFBTU8 ,ELOFBTU8 ,ELPCBTU8 ,ELMSBTU8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
4706,5605,4,8,15250,4,5,23,1,1,2,,2,2,1538.94,37,1,393634.0,52345.0,91027.0,0.0,439735.0,0.0,71622.0,11918.0,16970.0,123262.0
4707,5606,4,8,134000,7,4,16,1,1,1,2.0,2,2,34.31,39,1,0.0,1373341.0,3471805.0,0.0,6032851.0,0.0,319947.0,769103.0,884816.0,1920706.0
4708,5607,4,8,2250,2,4,18,1,1,2,2.0,2,2,456.4,38,1,12734.0,3737.0,3626.0,0.0,59048.0,0.0,49088.0,53.0,1509.0,4587.0
4709,5608,2,4,50000,5,4,2,1,1,2,2.0,2,2,199.06,48,1,0.0,173104.0,456669.0,40430.0,1346874.0,0.0,106025.0,166354.0,323375.0,436699.0
4710,5609,3,5,72000,6,5,14,1,2,2,2.0,1,2,471.14,25,2,0.0,819191.0,899431.0,144149.0,979762.0,0.0,90821.0,44556.0,643745.0,312787.0
4711,5610,2,3,1600000,10,5,16,1,1,1,2.0,2,2,8.1,15,1,2745542.0,6316287.0,18088090.0,0.0,30271440.0,514257.0,1675259.0,536936.0,2473453.0,9867561.0
4712,5611,3,5,2000,2,5,25,1,2,2,2.0,2,2,734.43,25,2,28926.0,70603.0,2429.0,40837.0,74562.0,0.0,246153.0,21098.0,32392.0,27753.0
4713,5612,3,7,220000,8,7,13,1,1,2,2.0,2,1,3.29,33,1,0.0,0.0,6852364.0,0.0,2245016.0,75343.0,551516.0,114754.0,69040.0,1813245.0
4714,5613,2,4,28500,5,7,12,1,1,2,2.0,2,2,787.04,17,1,0.0,27797.0,53199.0,0.0,45000.0,0.0,42131.0,2737.0,1490.0,139067.0
4715,5614,1,2,215000,8,4,13,1,2,2,2.0,1,2,3.19,5,2,0.0,1042678.0,7439991.0,0.0,1378847.0,0.0,95394.0,49011.0,320982.0,1285894.0
4716,5615,3,7,2000,2,2,25,1,1,2,2.0,2,2,2314.83,32,2,0.0,20412.0,5043.0,0.0,36077.0,0.0,0.0,870.0,0.0,16302.0
4717,5616,2,4,9200,3,8,13,1,2,2,2.0,2,2,402.35,18,2,133638.0,74756.0,23480.0,1695.0,108761.0,0.0,61401.0,4023.0,12014.0,87232.0
4718,5617,2,3,30500,5,1,13,1,1,2,2.0,2,2,220.48,11,1,21164.0,26609.0,101886.0,0.0,86349.0,3433.0,8770.0,0.0,446.0,41308.0
4719,5618,2,3,28000,5,6,4,1,1,2,2.0,1,2,75.88,16,1,0.0,929051.0,819663.0,0.0,2493081.0,0.0,1165285.0,89707.0,346428.0,1167180.0
4720,5619,4,9,11250,4,4,1,1,1,2,2.0,2,2,2996.93,62,1,0.0,3027.0,7990.0,0.0,15718.0,0.0,4068.0,0.0,172.0,21204.0
4721,5620,4,9,160000,7,1,14,1,1,2,2.0,2,2,83.77,43,1,64690.0,0.0,528038.0,0.0,729343.0,0.0,12426.0,1900.0,16581.0,41474.0
4722,5621,3,7,5000,2,2,15,1,1,2,2.0,2,2,1589.69,34,2,0.0,69326.0,24254.0,0.0,161038.0,37693.0,148733.0,1106.0,0.0,24406.0
4723,5624,1,2,114000,7,1,14,1,1,2,2.0,2,2,253.57,5,2,0.0,5572.0,259857.0,0.0,225907.0,0.0,21794.0,7945.0,27646.0,51827.0
4724,5626,2,3,48000,5,4,17,1,1,1,2.0,2,2,126.28,64,2,0.0,161587.0,725868.0,601205.0,405713.0,0.0,17781.0,7334.0,11541.0,289749.0
4725,5627,4,8,11000,4,2,14,1,1,2,2.0,1,2,446.21,39,1,0.0,34864.0,137251.0,0.0,68351.0,0.0,34179.0,11154.0,39379.0,23528.0
4726,5628,3,5,3000,2,5,5,1,2,2,1.0,2,2,2314.83,25,2,0.0,41285.0,0.0,0.0,29470.0,0.0,0.0,1675.0,990.0,15575.0
4727,5629,4,9,35000,5,7,2,1,1,2,2.0,2,2,406.42,43,1,104428.0,182441.0,154161.0,34933.0,401757.0,0.0,106032.0,53644.0,198597.0,235568.0
4728,5631,3,5,1500,2,7,25,1,2,2,2.0,2,2,2314.83,25,2,8719.0,9454.0,2560.0,414.0,14337.0,0.0,25358.0,383.0,631.0,8577.0
4729,5632,2,3,89000,6,8,6,1,1,1,1.0,2,2,220.48,15,1,0.0,1035405.0,1416338.0,0.0,8901711.0,0.0,1328747.0,169586.0,74721.0,1364227.0
4730,5633,2,3,98000,6,4,14,1,1,2,2.0,2,2,214.9,12,1,0.0,18691.0,1243397.0,0.0,1129972.0,62049.0,193638.0,19502.0,414589.0,182700.0
4731,5634,2,4,1200,2,6,26,1,2,2,1.0,2,2,2447.55,18,1,0.0,1232.0,937.0,33.0,2937.0,0.0,0.0,0.0,0.0,3446.0
4732,5636,4,8,4800,2,4,12,1,1,2,2.0,2,2,2739.65,38,2,0.0,1811.0,816.0,0.0,4224.0,281.0,12170.0,0.0,0.0,6766.0
4733,5637,3,7,1550,2,2,12,1,1,2,2.0,2,2,2226.65,34,1,0.0,708.0,9.0,0.0,82.0,0.0,559.0,0.0,0.0,402.0
4734,5638,3,7,10000,3,2,5,1,1,2,2.0,2,2,807.37,35,2,0.0,18758.0,5642.0,0.0,55666.0,0.0,49433.0,80.0,2672.0,24636.0
4735,5639,1,2,5000,2,2,25,1,1,2,2.0,2,2,869.22,6,2,0.0,646.0,371.0,0.0,2994.0,0.0,3412.0,29.0,61.0,1282.0
4736,5640,3,5,17750,4,5,23,1,2,2,,2,2,2314.83,25,1,39768.0,62896.0,37741.0,66230.0,193303.0,7118.0,31484.0,5239.0,7460.0,57941.0
4737,5641,4,8,33000,5,4,16,1,2,1,2.0,2,2,143.32,37,2,0.0,96609.0,377598.0,0.0,848742.0,20623.0,29505.0,9467.0,46902.0,196868.0
4738,5642,3,6,27500,5,5,23,1,1,2,,2,2,346.9,31,2,0.0,390392.0,249159.0,0.0,893310.0,0.0,145499.0,24211.0,34474.0,277153.0
4739,5644,2,3,5100,3,3,12,1,1,2,2.0,2,2,317.7,13,1,0.0,6364.0,2563.0,0.0,3818.0,0.0,5568.0,1159.0,572.0,13155.0
4740,5645,3,5,50000,5,6,2,1,1,2,2.0,2,2,68.04,22,1,303122.0,517813.0,150431.0,0.0,1757438.0,0.0,131684.0,66881.0,497917.0,348286.0
4741,5646,1,2,7700,3,1,25,1,1,2,2.0,2,2,199.37,4,1,0.0,0.0,1870.0,0.0,17490.0,0.0,3292.0,56.0,121.0,5716.0
4742,5647,4,9,2050,2,6,2,1,2,2,1.0,2,2,1701.66,40,2,0.0,4791.0,8270.0,726.0,25162.0,0.0,0.0,3907.0,4260.0,21500.0
4743,5648,1,1,136000,7,2,14,1,1,1,2.0,1,2,22.68,104,2,0.0,1433516.0,2112522.0,0.0,2724066.0,0.0,94393.0,123088.0,643800.0,771015.0
4744,5649,1,1,152000,7,1,2,1,1,1,2.0,2,2,86.75,3,2,0.0,382165.0,396119.0,0.0,2312516.0,0.0,259305.0,73829.0,342985.0,446765.0
4745,5650,3,7,20000,4,8,13,1,2,2,2.0,2,2,2544.74,49,1,14017.0,85190.0,55106.0,613.0,11364.0,0.0,0.0,0.0,196.0,33512.0
4746,5651,4,8,6000,3,6,5,1,1,2,2.0,2,2,781.6,38,1,0.0,5084.0,3312.0,664.0,31382.0,0.0,15585.0,2221.0,953.0,13981.0
4747,5652,3,7,98000,6,7,7,1,1,1,2.0,2,2,228.05,35,1,180403.0,3877061.0,1488235.0,0.0,2436540.0,0.0,76550.0,20676.0,103306.0,868859.0
4748,5653,2,3,43000,5,3,14,1,1,2,2.0,2,2,402.35,13,2,0.0,29253.0,99502.0,0.0,178684.0,0.0,18360.0,3138.0,6984.0,12352.0
4749,5656,3,7,10000,3,8,13,1,1,2,2.0,2,2,807.37,34,2,0.0,110803.0,40495.0,0.0,52359.0,0.0,8402.0,15.0,1960.0,38922.0
4750,5657,2,4,2700,2,5,2,1,2,2,2.0,2,2,2724.37,19,1,37239.0,13230.0,5114.0,349.0,14724.0,0.0,12721.0,6498.0,16097.0,10901.0
4751,5659,3,5,5900,3,3,12,1,2,1,2.0,2,2,2314.83,25,1,3318.0,12495.0,288.0,147.0,7407.0,0.0,5543.0,84.0,0.0,15150.0
4752,5660,1,1,27000,5,5,13,1,2,1,1.0,2,2,757.23,1,2,76599.0,0.0,499242.0,0.0,102696.0,0.0,0.0,1727.0,8436.0,110884.0
4753,5661,4,8,9800,3,6,26,1,1,2,2.0,2,2,2463.5,37,1,56257.0,5662.0,10982.0,561.0,50790.0,0.0,12710.0,2249.0,2373.0,28852.0
4754,5662,3,5,6000,3,4,25,1,2,2,2.0,2,2,2544.74,52,1,0.0,49566.0,9129.0,2417.0,101461.0,0.0,16627.0,7378.0,3156.0,22495.0
4755,5663,1,1,18000,4,2,26,1,2,1,2.0,2,2,869.22,53,2,0.0,9447.0,39897.0,617.0,44795.0,0.0,0.0,3435.0,4256.0,38821.0
4756,5664,2,3,600000,9,4,24,1,1,2,,2,2,42.03,15,2,7655671.0,2363296.0,3001692.0,1758878.0,10417087.0,189040.0,1672273.0,278266.0,396227.0,2985441.0
4757,5665,3,5,1200,2,8,2,1,2,2,2.0,2,2,807.37,52,1,0.0,10119.0,588.0,0.0,3690.0,0.0,6578.0,866.0,384.0,2505.0
4758,5667,2,3,5000,2,2,1,1,1,2,2.0,2,2,2459.66,13,2,0.0,1833.0,720.0,0.0,7853.0,0.0,0.0,0.0,0.0,30961.0
4759,5668,1,1,28500,5,1,2,1,2,1,2.0,2,2,221.72,3,2,0.0,10872.0,57959.0,3131.0,115002.0,0.0,18396.0,7393.0,15213.0,83198.0
4760,5669,4,8,79000,6,8,23,1,1,2,,2,2,89.29,65,2,1439466.0,2149766.0,1566174.0,1663365.0,4854811.0,0.0,790732.0,131578.0,187355.0,1508872.0
